TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
EGS,USA,2025,4.364,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2026,4.796,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2027,5.272,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2028,5.794,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2029,6.369,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2030,7.0,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2031,8.359,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2032,9.982,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2033,11.921,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2034,14.236,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2035,17.0,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2036,18.363,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2037,19.836,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2038,21.426,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2039,23.144,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2040,25.0,,GW,"geothermal_allocation_model.xlsx (Sebastian, April 2026)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
